取得日時,工区,ステータス
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業完了,現場確認中
2026-02-03 14:35:07,作業完了,現場確認中
2026-02-03 14:35:07,作業完了,現場確認中
2026-02-03 14:35:07,作業完了,現場確認中
2026-02-03 14:35:07,作業完了,現場確認中
2026-02-03 14:35:07,作業完了,現場確認中
2026-02-03 14:35:07,作業予定あり,不明(#FFD600)
2026-02-03 14:35:07,作業予定あり,不明(#FFD600)
2026-02-03 14:35:07,作業予定あり,不明(#FFD600)
2026-02-03 14:35:07,作業予定あり,不明(#FFD600)
2026-02-03 14:35:07,作業予定あり,不明(#FFD600)
2026-02-03 14:35:07,作業予定あり,不明(#FFD600)
2026-02-03 14:35:07,作業完了,現場確認中
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業予定あり,不明(#FFD600)
2026-02-03 14:35:07,作業予定あり,不明(#FFD600)
2026-02-03 14:35:07,作業予定あり,不明(#FFD600)
2026-02-03 14:35:07,作業予定あり,不明(#FFD600)
2026-02-03 14:35:07,作業予定あり,不明(#FFD600)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業中,不明(#FF5252)
2026-02-03 14:35:07,作業完了,現場確認中
2026-02-03 14:35:07,作業完了,現場確認中
2026-02-03 14:35:07,作業完了,現場確認中
2026-02-03 14:35:07,作業完了,現場確認中
2026-02-03 14:35:07,作業完了,現場確認中
2026-02-03 14:35:07,作業完了,現場確認中
