取得日時,工区,ステータス
2026-02-03 20:35:44,K-4,作業中
2026-02-03 20:35:44,L-1,作業中
2026-02-03 20:35:44,L-2,作業中
2026-02-03 20:35:44,L-3,作業予定あり
2026-02-03 20:35:44,L-4,作業中
2026-02-03 20:35:44,L-5,作業中
2026-02-03 20:35:44,L-6,作業中
2026-02-03 20:35:44,L-7,作業中
2026-02-03 20:35:44,L-8,作業予定あり
2026-02-03 20:35:44,L-9,作業中
2026-02-03 20:35:44,細越工区,作業中
2026-02-03 20:35:44,問屋町工区,作業中
2026-02-03 20:35:44,松元台団地工区,作業予定あり
2026-02-03 20:35:44,幸畑団地1工区,作業中
2026-02-03 20:35:44,幸畑団地2工区,作業中
2026-02-03 20:35:44,幸畑阿部野工区,作業中
2026-02-03 20:35:44,幸畑谷脇工区,作業中
2026-02-03 20:35:44,月見野工区,作業中
2026-02-03 20:35:44,戸山団地1工区,作業中
2026-02-03 20:35:44,戸山団地2工区,作業中
2026-02-03 20:35:44,戸山団地3工区,作業中
2026-02-03 20:35:44,戸山団地4工区,作業中
2026-02-03 20:35:44,野内工区,作業中
2026-02-03 20:35:44,久栗坂工区,現場確認中
2026-02-03 20:35:44,浅虫工区,作業中
2026-02-03 20:35:44,戸山工区,現場確認中
2026-02-03 20:35:44,桑原工区,現場確認中
2026-02-03 20:35:44,宮田工区,作業中
2026-02-03 20:35:44,諏訪沢工区,現場確認中
2026-02-03 20:35:44,後潟工区,現場確認中
2026-02-03 20:35:44,内真部工区,作業中
2026-02-03 20:35:44,奥内1工区,作業中
2026-02-03 20:35:44,奥内2工区,作業中
2026-02-03 20:35:44,飛鳥工区,作業中
2026-02-03 20:35:44,白旗野工区,作業中
2026-02-03 20:35:44,鶴ｹ坂･孫内工区,現場確認中
2026-02-03 20:35:44,太陽台団地工区,作業予定あり
2026-02-03 20:35:44,高田工区,現場確認中
2026-02-03 20:35:44,荒川･八ﾂ役1工区,現場確認中
2026-02-03 20:35:44,荒川･八ﾂ役2工区,作業中
2026-02-03 20:35:44,金浜･上野工区,作業中
2026-02-03 20:35:44,大別内工区,作業中
2026-02-03 20:35:44,野木工区,現場確認中
2026-02-03 20:35:44,合子沢工区,作業中
2026-02-03 20:35:44,横内1工区,作業中
2026-02-03 20:35:44,横内2工区,作業中
2026-02-03 20:35:44,梨の木工区,現場確認中
2026-02-03 20:35:44,沢山工区,現場確認中
2026-02-03 20:35:44,三本木工区,現場確認中
2026-02-03 20:35:44,矢田工区,作業中
2026-02-03 20:35:44,下湯工区,現場確認中
2026-02-03 21:34:55,A-1,作業中
2026-02-03 21:34:55,A-2,作業中
2026-02-03 21:34:55,A-3,作業中
2026-02-03 21:34:55,A-4,現場確認中
2026-02-03 21:34:55,A-5,作業中
2026-02-03 21:34:55,A-6,作業中
2026-02-03 21:34:55,B-1,現場確認中
2026-02-03 21:34:55,B-2-1,現場確認中
2026-02-03 21:34:55,B-2-2,作業中
2026-02-03 21:34:55,B-3-1,作業中
2026-02-03 21:34:55,B-3-2,現場確認中
2026-02-03 21:34:55,B-4-1,作業中
2026-02-03 21:34:55,B-4-2,作業中
2026-02-03 21:34:55,B-5,現場確認中
2026-02-03 21:34:55,B-6,作業中
2026-02-03 21:34:55,B-7,作業予定あり
2026-02-03 21:34:55,B-8,現場確認中
2026-02-03 21:34:55,B-9,現場確認中
2026-02-03 21:34:55,B-10-1,作業中
2026-02-03 21:34:55,B-10-2,作業中
2026-02-03 21:34:55,B-11-1,現場確認中
2026-02-03 21:34:55,B-11-2A,作業中
2026-02-03 21:34:55,B-11-2B,作業中
2026-02-03 21:34:55,B-12-1,現場確認中
2026-02-03 21:34:55,B-12-2,現場確認中
2026-02-03 21:34:55,B-13,現場確認中
2026-02-03 21:34:55,C-1-1,作業中
2026-02-03 21:34:55,C-1-2,作業中
2026-02-03 21:34:55,C-2-1,作業中
2026-02-03 21:34:55,C-2-2,現場確認中
2026-02-03 21:34:55,C-3-1,現場確認中
2026-02-03 21:34:55,C-3-2,作業中
2026-02-03 21:34:55,C-4-1,作業中
2026-02-03 21:34:55,C-4-2,作業中
2026-02-03 21:34:55,C-5,作業中
2026-02-03 21:34:55,C-6,作業中
2026-02-03 21:34:55,C-7,作業中
2026-02-03 21:34:55,C-8,作業中
2026-02-03 21:34:55,D-1-1,作業中
2026-02-03 21:34:55,D-1-2,作業中
2026-02-03 21:34:55,D-2,作業中
2026-02-03 21:34:55,D-3,作業中
2026-02-03 21:34:55,D-4,作業中
2026-02-03 21:34:55,D-5,作業中
2026-02-03 21:34:55,D-6-1,作業中
2026-02-03 21:34:55,D-6-2,作業中
2026-02-03 21:34:55,D-7,作業中
2026-02-03 21:34:55,D-8,作業中
2026-02-03 21:34:55,D-9,作業中
2026-02-03 21:34:55,D-10,作業中
2026-02-03 21:34:55,D-11,作業中
2026-02-03 21:34:55,D-12-1,作業中
2026-02-03 21:34:55,D-12-2,作業中
2026-02-03 21:34:55,D-13,作業中
2026-02-03 21:34:55,D-14,作業中
2026-02-03 21:34:55,D-15,作業中
2026-02-03 21:34:55,D-16,作業中
2026-02-03 21:34:55,D-17,作業中
2026-02-03 21:34:55,E-1-1,現場確認中
2026-02-03 21:34:55,E-1-2,現場確認中
2026-02-03 21:34:55,E-2,作業中
2026-02-03 21:34:55,E-3-1,作業中
2026-02-03 21:34:55,E-3-2,作業予定あり
2026-02-03 21:34:55,E-3-3,作業中
2026-02-03 21:34:55,E-4-1,現場確認中
2026-02-03 21:34:55,E-4-2,作業中
2026-02-03 21:34:55,E-5,作業中
2026-02-03 21:34:55,E-6,作業中
2026-02-03 21:34:55,E-7-1,作業中
2026-02-03 21:34:55,E-7-2,作業中
2026-02-03 21:34:55,E-8,作業中
2026-02-03 21:34:55,E-9,作業中
2026-02-03 21:34:55,E-10-1,作業中
2026-02-03 21:34:55,E-10-2,作業中
2026-02-03 21:34:55,F-1,作業中
2026-02-03 21:34:55,F-2-1,現場確認中
2026-02-03 21:34:55,F-2-2A,作業中
2026-02-03 21:34:55,F-2-2B,現場確認中
2026-02-03 21:34:55,F-2-2C,作業予定あり
2026-02-03 21:34:55,F-3,作業中
2026-02-03 21:34:55,F-4-1,作業中
2026-02-03 21:34:55,F-4-2,現場確認中
2026-02-03 21:34:55,F-5,現場確認中
2026-02-03 21:34:55,F-6-1,作業中
2026-02-03 21:34:55,F-6-2,作業中
2026-02-03 21:34:55,F-7,作業中
2026-02-03 21:34:55,F-8-1,作業中
2026-02-03 21:34:55,F-8-2,作業中
2026-02-03 21:34:55,F-9,作業中
2026-02-03 21:34:55,F-10,作業予定あり
2026-02-03 21:34:55,F-11,作業中
2026-02-03 21:34:55,G-1-1,作業中
2026-02-03 21:34:55,G-1-2,作業中
2026-02-03 21:34:55,G-2,作業中
2026-02-03 21:34:55,G-3,現場確認中
2026-02-03 21:34:55,G-4,現場確認中
2026-02-03 21:34:55,G-5,作業中
2026-02-03 21:34:55,G-6-1,作業中
2026-02-03 21:34:55,G-6-2,現場確認中
2026-02-03 21:34:55,G-7,作業中
2026-02-03 21:34:55,G-8,作業中
2026-02-03 21:34:55,G-9,作業中
2026-02-03 21:34:55,G-10,作業中
2026-02-03 21:34:55,H-1-1,作業中
